,event_id,event_id_cnty,event_date,year,time_precision,latitude,longitude,level,radius,note_on_location,location,source,notes,number_of_report
1,IDVN_191230,ID/VN,12/30/19,2019,,4.7323165,107.9741981,4,0.7,Pulau Laut,"ID's EEZ, off the coast of the northern islands of Natuna",https://www.bbc.com/vietnamese/world-50950233,Indonesia arrested 3 Vietnamese fishing vessels,1
2,CNUS_191225,CN,12/25/19,2019,,22.75444,118.3256,4,0.7,https://n.sinaimg.cn/spider202011/258/w507h551/20200101/4d3d-imkzenq5212428.jpg,South China Sea on its way north to the Taiwan Strait.,https://news.sina.com.cn/c/2020-01-01/doc-iihnzhfz9671143.shtml,"On Christmas Day in 2019, the PLAN ’s “Shandong Ship” carrier formation, which just served, met with the US Navy ’s “Lincoln” carrier formation in the South China Sea on its way north to the Taiwan Strait.",1
3,CNID_191224_a,CN/ID,12/24/19,2019,,4.7323165,107.9741981,4,0.7,Pulau Laut,"ID's EEZ, off the coast of the northern islands of Natuna",https://www.thejakartapost.com/news/2020/01/01/indonesia-lodges-strong-protestagainst-china-for-trespassing-poaching-in-natunas.html,More Chinese fishing vessels entered Indonesian maritime territory in the Natunas with heavy guard from the Chinese Coast Guard vessels.,1
4,CNID_191224_b,CN/ID,12/24/19,2019,,4.7323165,107.9741981,4,0.7,Pulau Laut,"ID's EEZ, off the coast of the northern islands of Natuna",https://www.bbc.com/vietnamese/world-50950233,1 CCG ship entered North Natuna Regency waters,1
5,CN_191223,CN,12/23/19,2019,,12,113,6,7.2,,South China Sea,https://www.abc.net.au/news/2019-12-18/china-launches-aircraft-carrier-shandong/11809108; https://viettimes.vn/tau-son-dong-ra-bien-chuyen-dau-my-dua-tau-abraham-lincoln-vao-bien-dong-376699.html,China's new domestically built Shandong aircraft carrier deployed in the South China Sea,2
6,CNID_191219,CN/ID,12/19/19,2019,,4.7323165,107.9741981,4,0.7,Pulau Laut,"ID' EEZ, offshort North Natuna",https://www.thejakartapost.com/news/2020/01/01/indonesia-lodges-strong-protestagainst-china-for-trespassing-poaching-in-natunas.html,50 Chinese fishing vessels entered Indonesian waters in the North Natuna Sea and left the next day.,1
7,CN_191216,CN,12/16/19,2019,,4.951389,109.8525,1,0.08,https://i2.wp.com/amti.csis.org/wp-content/uploads/2020/01/2-Dec-10-to-19-moving-into-Indonesia-retitle.png?w=947&ssl=1; 3°59?45?N 108°11?17?E,115 nautical miles northeast from Indonesia’s Natuna Besar island,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
8,CN_191211,CN,12/11/2019 - 12/19/2019,2019,,9.55428,112.8937,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
9,CN_191211,CN,12/11/2019 - 12/19/2020,2019,,9.92776,113.77793,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
10,CN_191211,CN,12/11/2019 - 12/19/2021,2019,,9.55429,112.89368,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
